CustomerID,Gender,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0036-IHMOT,Female,One year,Bank transfer (automatic),103.7,5656.75,No
0040-HALCW,Male,Two year,Credit card (automatic),20.4,1090.6,No
0042-JVWOJ,Male,One year,Bank transfer (automatic),19.6,471.85,No
0042-RLHYP,Female,Two year,Bank transfer (automatic),19.7,1396.9,No
0047-ZHDTW,Female,Month-to-month,Bank transfer (automatic),79.0,929.3,
0048-LUMLS,Male,One year,Credit card (automatic),91.2,3247.55,No
0048-PIHNL,Female,One year,Bank transfer (automatic),20.45,900.9,No
0052-DCKON,Male,One year,Bank transfer (automatic),115.8,7942.15,No
0052-YNYOT,Female,One year,Electronic check,20.55,1343.4,No
0056-EPFBG,Male,Two year,Credit card (automatic),39.4,825.4,No
0057-QBUQH,Female,Two year,Electronic check,25.1,1070.15,No
0058-EVZWM,Female,Month-to-month,Bank transfer (automatic),89.8,4959.6,No
0060-FUALY,Female,Month-to-month,Electronic check,94.75,5597.65,No
0064-SUDOG,Female,Two year,Bank transfer (automatic),20.3,224.5,No
0064-YIJGF,Male,Month-to-month,Bank transfer (automatic),75.75,1929.0,No
0067-DKWBL,Male,Month-to-month,Electronic check,49.25,91.1,Yes
0068-FIGTF,Female,One year,Mailed check,78.2,2078.95,No
0071-NDAFP,Male,Two year,Credit card (automatic),25.5,630.6,No
0074-HDKDG,Male,One year,Bank transfer (automatic),61.6,1611.0,No
0076-LVEPS,Male,Month-to-month,Mailed check,45.0,1242.45,No
0078-XZMHT,Male,Two year,Bank transfer (automatic),85.15,6316.2,No
0080-EMYVY,Female,One year,Credit card (automatic),51.45,727.85,No
0080-OROZO,Female,One year,Electronic check,99.25,3532.0,No
0082-LDZUE,Male,Month-to-month,Mailed check,44.3,44.3,No
0082-OQIQY,Male,Month-to-month,Electronic check,94.2,2607.6,No
0083-PIVIK,Male,One year,Electronic check,81.25,5567.55,No
0089-IIQKO,Female,Month-to-month,Credit card (automatic),99.95,3767.4,No
0093-EXYQL,Female,Month-to-month,Electronic check,91.55,3673.6,No
0093-XWZFY,Male,Month-to-month,Credit card (automatic),104.5,4036.85,Yes
0094-OIFMO,Female,Month-to-month,Electronic check,95.0,1120.3,Yes
0096-BXERS,Female,Month-to-month,Electronic check,50.35,314.55,No
0096-FCPUF,Male,Month-to-month,Mailed check,64.5,1888.45,No
0098-BOWSO,Male,Month-to-month,Electronic check,19.4,529.8,No
0100-DUVFC,Male,One year,Electronic check,104.8,7308.95,No
0103-CSITQ,Female,One year,Bank transfer (automatic),109.4,6252.7,No
0104-PPXDV,Male,One year,Credit card (automatic),50.3,2878.55,No
0106-GHRQR,Male,Month-to-month,Bank transfer (automatic),71.4,1212.1,No
0106-UGRDO,Female,Two year,Electronic check,116.0,8182.85,No
0107-WESLM,Male,Month-to-month,Electronic check,19.85,19.85,Yes
0107-YHINA,Male,Month-to-month,Electronic check,99.75,99.75,Yes
0111-KLBQG,Male,Month-to-month,Mailed check,93.95,2861.45,No
0112-QAWRZ,Male,Month-to-month,Bank transfer (automatic),90.8,1442.2,No
0112-QWPNC,Male,One year,Electronic check,84.35,4059.35,Yes
0114-IGABW,Female,Two year,Bank transfer (automatic),58.25,4145.9,No
0114-PEGZZ,Female,Month-to-month,Electronic check,107.55,3645.5,No
0114-RSRRW,Female,Month-to-month,Bank transfer (automatic),19.95,187.75,No
0115-TFERT,Male,Month-to-month,Electronic check,111.2,2317.1,Yes
0117-LFRMW,Male,Month-to-month,Bank transfer (automatic),40.2,1448.8,Yes
0118-JPNOY,Female,Month-to-month,Credit card (automatic),85.8,2193.65,No
0120-YZLQA,Male,Two year,Credit card (automatic),19.9,1355.1,
0121-SNYRK,Male,One year,Mailed check,35.4,1748.9,No
0122-OAHPZ,Female,Month-to-month,Electronic check,73.85,511.25,Yes
0123-CRBRT,Female,Two year,Mailed check,88.1,5526.75,No
0125-LZQXK,Male,Month-to-month,Electronic check,101.35,1553.95,Yes
0128-MKWSG,Female,Month-to-month,Mailed check,45.8,1147.0,No
0129-KPTWJ,Male,Month-to-month,Electronic check,94.65,6747.35,No
0129-QMPDR,Male,One year,Bank transfer (automatic),20.5,865.05,No
0130-SXOUN,Male,Month-to-month,Credit card (automatic),89.4,5976.9,No
0133-BMFZO,Female,Month-to-month,Electronic check,86.25,181.65,Yes
0134-XWXCE,Female,One year,Bank transfer (automatic),74.85,3268.05,No
0135-NMXAP,Female,Month-to-month,Bank transfer (automatic),89.75,1052.4,Yes
0136-IFMYD,Male,Two year,Electronic check,109.95,7634.25,No
0137-OCGAB,Female,Month-to-month,Mailed check,80.2,80.2,Yes
0137-UDEUO,Female,Month-to-month,Mailed check,19.85,63.75,Yes
0139-IVFJG,Female,Month-to-month,Electronic check,90.35,190.5,No
0141-YEAYS,Female,Month-to-month,Bank transfer (automatic),86.45,2401.05,No
0142-GVYSN,Male,Month-to-month,Electronic check,20.3,511.25,No
0147-ESWWR,Female,Month-to-month,Electronic check,101.25,3949.15,No
0148-DCDOS,Male,Month-to-month,Bank transfer (automatic),94.7,2362.1,Yes
0151-ONTOV,Female,Month-to-month,Mailed check,70.9,70.9,Yes
0154-QYHJU,Male,One year,Electronic check,58.75,1696.2,
0156-FVPTA,Male,Month-to-month,Electronic check,54.2,1152.7,Yes
0162-RZGMZ,Female,Month-to-month,Credit card (automatic),59.9,287.85,
0164-APGRB,Female,Two year,Electronic check,114.9,8496.7,No
0164-XAIRP,Female,Two year,Bank transfer (automatic),19.55,470.2,No
0168-XZKBB,Female,Month-to-month,Electronic check,86.85,1564.4,No
0174-QRVVY,Male,Two year,Credit card (automatic),25.35,1847.55,No
0177-PXBAT,Male,Month-to-month,Bank transfer (automatic),109.9,3694.7,No
0178-CIIKR,Female,Month-to-month,Mailed check,19.95,58.0,No
0178-SZBHO,Male,Month-to-month,Electronic check,87.2,4017.45,No
0181-RITDD,Male,Two year,Mailed check,108.15,6825.65,No
0186-CAERR,Male,One year,Bank transfer (automatic),116.3,8309.55,No
0187-QSXOE,Male,Month-to-month,Electronic check,89.0,605.45,No
0187-WZNAB,Female,Month-to-month,Mailed check,74.4,1972.35,No
0188-GWFLE,Male,Month-to-month,Mailed check,20.05,33.7,No
0191-EQUUH,Female,Two year,Bank transfer (automatic),35.05,844.45,No
0191-ZHSKZ,Male,Month-to-month,Electronic check,74.75,2111.3,No
0193-ESZXP,Female,One year,Credit card (automatic),105.5,6205.5,Yes
0195-IESCP,Male,Month-to-month,Electronic check,85.25,855.3,Yes
0196-JTUQI,Female,Month-to-month,Credit card (automatic),75.2,633.85,No
0196-VULGZ,Female,Month-to-month,Electronic check,84.35,474.9,Yes
0197-PNKNK,Female,One year,Bank transfer (automatic),84.45,5848.6,No
0201-MIBOL,Female,Two year,Bank transfer (automatic),102.4,6471.85,No
0201-OAMXR,Female,One year,Credit card (automatic),115.55,8127.6,Yes
0203-HHYIJ,Male,One year,Bank transfer (automatic),25.3,676.35,Yes
0206-OYVOC,Female,Two year,Mailed check,19.25,864.2,No
0206-TBWLC,Female,One year,Mailed check,114.65,6049.5,No
0207-MDKNV,Female,Month-to-month,Electronic check,105.1,1582.75,Yes
0208-BPQEJ,Female,Month-to-month,Bank transfer (automatic),19.4,198.1,No
0212-ISBBF,Female,Month-to-month,Electronic check,50.35,1098.85,No
0214-JHPFW,Female,Two year,Bank transfer (automatic),57.8,4039.3,No
0215-BQKGS,Male,Month-to-month,Credit card (automatic),84.3,2438.6,No
0218-QNVAS,Male,One year,Bank transfer (automatic),100.55,7113.75,No
0219-QAERP,Male,One year,Credit card (automatic),19.8,576.65,No
0219-YTZUE,Male,Month-to-month,Bank transfer (automatic),84.8,371.9,Yes
0220-EBGCE,Male,Month-to-month,Electronic check,85.85,167.3,Yes
0221-NAUXK,Male,One year,Bank transfer (automatic),19.95,219.5,No
0221-WMXNQ,Male,Month-to-month,Electronic check,75.35,273.4,No
0222-CNVPT,Male,Month-to-month,Credit card (automatic),48.8,2555.05,No
0224-HJAPT,Male,Month-to-month,Electronic check,47.15,223.15,Yes
0224-NIJLP,Male,Two year,Mailed check,20.15,165.5,No
0224-RLWWD,Female,Month-to-month,Electronic check,44.3,89.3,No
0225-ZORZP,Male,Month-to-month,Electronic check,84.3,235.05,No
0228-MAUWC,Male,Month-to-month,Electronic check,59.55,1144.6,No
0229-LFJAF,Male,Two year,Bank transfer (automatic),69.65,4908.25,No
0230-UBYPQ,Male,One year,Bank transfer (automatic),36.1,2298.9,No
0230-WEQUW,Male,Two year,Bank transfer (automatic),56.6,3789.2,No
0231-LXVAP,Male,Month-to-month,Electronic check,75.9,75.9,Yes
0233-FTHAV,Female,One year,Bank transfer (automatic),79.2,4765.0,No
0234-TEVTT,Female,One year,Credit card (automatic),45.0,2196.3,No
0235-KGSLC,Female,Month-to-month,Credit card (automatic),85.55,85.55,Yes
0236-HFWSV,Male,Month-to-month,Electronic check,93.35,1444.65,Yes
0237-YFUTL,Female,Month-to-month,Bank transfer (automatic),109.65,5405.8,No
0238-WHBIQ,Male,Two year,Credit card (automatic),89.7,6339.3,No
0239-OXEXL,Female,Month-to-month,Mailed check,84.25,3847.6,No
0244-LGNFY,Female,Two year,Bank transfer (automatic),92.65,6733.0,No
0247-SLUJI,Male,Month-to-month,Mailed check,19.7,19.7,No
0248-IPDFW,Female,Month-to-month,Electronic check,50.1,50.1,No
0248-PGHBZ,Female,Two year,Bank transfer (automatic),92.45,6140.85,No
0253-ZTEOB,Female,Two year,Electronic check,79.65,3870.3,No
0254-FNMCI,Female,Two year,Electronic check,109.9,7624.2,No
0254-KCJGT,Male,One year,Credit card (automatic),81.4,4354.45,No
0254-WWRKD,Female,One year,Credit card (automatic),50.55,3431.75,No
0256-LTHVJ,Female,Month-to-month,Electronic check,81.05,2227.1,Yes
0257-KXZGU,Female,Month-to-month,Bank transfer (automatic),62.45,2045.55,No
0257-ZESQC,Female,Month-to-month,Bank transfer (automatic),75.2,1929.35,Yes
0258-NOKBL,Male,Month-to-month,Electronic check,90.4,268.45,No
0259-GBZSH,Male,Month-to-month,Electronic check,85.65,181.5,Yes
0260-ZDLGK,Female,Month-to-month,Mailed check,72.9,651.4,Yes
0263-FJTQO,Male,Two year,Credit card (automatic),70.5,3486.65,No
0264-CNITK,Female,Two year,Bank transfer (automatic),20.1,1389.6,No
0265-EDXBD,Male,Month-to-month,Electronic check,74.9,2303.35,Yes
0265-PSUAE,Female,Month-to-month,Bank transfer (automatic),100.7,1522.7,No
0266-CLZKZ,Female,Two year,Bank transfer (automatic),105.65,6717.9,No
0266-GMEAO,Male,Two year,Credit card (automatic),114.3,8058.55,No
0268-QKIWO,Female,Month-to-month,Electronic check,19.75,58.85,Yes
0269-XFESX,Male,One year,Mailed check,24.35,538.5,No
0270-THENM,Male,Two year,Bank transfer (automatic),69.85,5102.35,No
0274-JKUJR,Male,Month-to-month,Mailed check,58.85,465.7,No
0274-VVQOQ,Male,One year,Bank transfer (automatic),103.15,6792.45,
0277-BKSQP,Male,Month-to-month,Electronic check,54.4,475.1,No
0277-ORXQS,Male,Two year,Bank transfer (automatic),50.55,3364.55,No
0278-YXOOG,Male,Month-to-month,Mailed check,21.05,113.85,Yes
0280-XJGEX,Male,Month-to-month,Bank transfer (automatic),103.7,5036.3,Yes
0281-CNTZX,Male,Two year,Bank transfer (automatic),19.95,1234.8,No
0282-NVSJS,Female,Month-to-month,Mailed check,29.3,355.9,No
0285-INHLN,Male,Month-to-month,Credit card (automatic),54.75,1510.3,No
0289-IVARM,Female,Month-to-month,Electronic check,60.55,1982.6,No
0292-WEGCH,Female,Month-to-month,Electronic check,86.2,4524.05,No
0295-PPHDO,Male,Month-to-month,Electronic check,95.45,95.45,Yes
0295-QVKPB,Male,Month-to-month,Credit card (automatic),63.95,318.1,No
0297-RBCSG,Male,One year,Bank transfer (automatic),65.35,1231.85,No
0298-XACET,Male,Two year,Mailed check,50.2,2554.0,No
0301-FIDRB,Female,Two year,Bank transfer (automatic),63.8,4684.3,No
0301-KOBTQ,Male,Two year,Bank transfer (automatic),20.05,614.45,No
0302-JOIVN,Female,Month-to-month,Electronic check,101.15,842.9,Yes
0303-UNCIP,Male,One year,Mailed check,65.0,2531.8,No
0303-WMMRN,Male,Month-to-month,Mailed check,19.25,86.05,No
0305-SQECB,Female,One year,Mailed check,36.05,402.6,No
0306-JAELE,Male,Month-to-month,Electronic check,96.1,453.4,Yes
0307-BCOPK,Female,One year,Mailed check,19.05,326.65,No
0308-GIQJT,Male,One year,Bank transfer (automatic),105.75,7382.85,No
0308-IVGOK,Female,One year,Credit card (automatic),40.4,422.6,No
0310-MVLET,Female,Month-to-month,Electronic check,99.15,6010.05,Yes
0310-SUCIN,Female,One year,Bank transfer (automatic),84.8,6046.1,No
0310-VQXAM,Male,Month-to-month,Mailed check,19.85,178.8,No
0311-QYWSS,Female,Month-to-month,Electronic check,49.45,314.6,No
0311-UNPFF,Female,Month-to-month,Bank transfer (automatic),88.8,2274.35,Yes
0314-TKOSI,Female,Month-to-month,Mailed check,55.15,322.9,No
0315-LVCRK,Male,Month-to-month,Electronic check,84.8,888.75,No
0318-QUUOB,Male,Month-to-month,Electronic check,80.55,80.55,Yes
0318-ZOPWS,Female,Two year,Bank transfer (automatic),20.15,973.35,No
0319-QZTCO,Female,Month-to-month,Credit card (automatic),58.7,168.6,No
0320-DWVTU,Female,Two year,Mailed check,99.5,5424.25,No
0320-JDNQG,Male,Month-to-month,Electronic check,99.85,2331.3,Yes
0322-CHQRU,Male,Month-to-month,Electronic check,45.35,89.5,Yes
0322-YINQP,Male,Month-to-month,Mailed check,48.55,48.55,Yes
0323-XWWTN,Male,Two year,Mailed check,26.4,121.25,No
0324-BRPCJ,Female,Month-to-month,Electronic check,100.2,6851.65,Yes
0325-XBFAC,Male,Month-to-month,Electronic check,94.7,740.3,Yes
0326-VDYXE,Female,One year,Electronic check,97.65,6982.5,No
0327-WFZSY,Male,One year,Electronic check,100.0,3835.55,No
0328-GRPMV,Female,Month-to-month,Electronic check,70.1,70.1,Yes
0328-IBUPK,Female,Two year,Bank transfer (automatic),34.2,1782.0,
0329-GTIAJ,Female,Month-to-month,Electronic check,97.9,315.3,Yes
0330-BGYZE,Male,One year,Bank transfer (automatic),102.5,6157.6,No
0330-IVZHA,Female,Month-to-month,Electronic check,69.95,330.15,Yes
0334-GDDSO,Male,Month-to-month,Electronic check,81.35,233.7,Yes
0334-ZFJSR,Female,One year,Credit card (automatic),66.05,3462.1,No
0336-KXKFK,Male,Two year,Credit card (automatic),61.2,4390.25,No
0336-PIKEI,Male,Two year,Bank transfer (automatic),74.4,5360.75,No
0337-CNPZE,Female,Month-to-month,Electronic check,106.3,4443.45,Yes
0343-QLUZP,Male,Two year,Bank transfer (automatic),39.6,2424.5,No
0345-HKJVM,Female,Month-to-month,Electronic check,89.3,577.6,Yes
0345-XMMUG,Female,Two year,Credit card (automatic),108.9,4854.3,No
0347-UBKUZ,Female,Month-to-month,Mailed check,19.9,320.45,No
0348-SDKOL,Female,Month-to-month,Credit card (automatic),102.1,5885.4,Yes
0354-VXMJC,Male,Two year,Credit card (automatic),19.6,426.65,No
0354-WYROK,Female,Month-to-month,Electronic check,98.9,2911.3,Yes
0356-ERHVT,Male,Month-to-month,Bank transfer (automatic),45.9,521.9,No
0356-OBMAC,Female,Two year,Bank transfer (automatic),99.9,5706.3,No
0357-NVCRI,Female,Month-to-month,Credit card (automatic),20.05,471.7,No
0361-HJRDX,Female,Two year,Credit card (automatic),64.35,4539.6,No
0362-RAOQO,Female,Two year,Credit card (automatic),19.65,830.25,No
0362-ZBZWJ,Male,Month-to-month,Electronic check,84.9,3067.2,Yes
0363-QJVFX,Male,Month-to-month,Credit card (automatic),108.15,3432.9,Yes
0363-SVHYR,Male,Two year,Bank transfer (automatic),86.85,6263.8,No
0365-BZUWY,Male,Month-to-month,Electronic check,102.55,1742.5,No
0365-GXEZS,Male,Month-to-month,Electronic check,78.2,1468.75,No
0365-TRTPY,Female,Month-to-month,Bank transfer (automatic),91.2,3382.3,No
0366-NQSHS,Male,Month-to-month,Mailed check,19.35,46.35,No
0369-ZGOVK,Female,One year,Bank transfer (automatic),70.4,1992.2,No
0373-AIVNJ,Male,One year,Mailed check,39.55,373.0,No
0374-AACSZ,Female,Month-to-month,Electronic check,50.15,50.15,No
0374-FIUCA,Male,Two year,Credit card (automatic),20.4,1414.45,No
0374-IOEGQ,Female,Month-to-month,Electronic check,44.6,122.7,No
0375-HVGXO,Female,Month-to-month,Electronic check,34.7,34.7,Yes
0376-OIWME,Male,Month-to-month,Electronic check,93.6,3366.05,No
0376-YMCJC,Male,Month-to-month,Electronic check,90.6,1943.2,Yes
0377-JBKKT,Male,Month-to-month,Mailed check,57.95,1271.8,No
0378-CJKPV,Female,Two year,Credit card (automatic),112.1,7965.95,No
0378-NHQXU,Female,Month-to-month,Electronic check,88.25,1460.65,Yes
0378-TOVMS,Female,Month-to-month,Electronic check,85.8,272.2,Yes
0378-XSZPU,Male,One year,Credit card (automatic),60.3,3563.8,Yes
0379-DJQHR,Male,Two year,Credit card (automatic),81.35,5398.6,No
0380-NEAVX,Male,One year,Electronic check,99.85,3343.15,No
0380-ZCSBI,Male,Month-to-month,Credit card (automatic),20.0,198.7,No
0383-CLDDA,Female,Two year,Credit card (automatic),85.35,5897.4,No
0384-LPITE,Male,One year,Credit card (automatic),62.05,2511.55,No
0384-RVBPI,Male,Month-to-month,Credit card (automatic),64.4,1398.6,No
0386-CWRGM,Female,Two year,Mailed check,19.4,967.85,No
0388-EOPEX,Female,Month-to-month,Electronic check,74.4,139.4,Yes
0390-DCFDQ,Female,Month-to-month,Mailed check,70.45,70.45,Yes
0392-BZIUW,Female,Two year,Credit card (automatic),105.0,7589.8,No
0394-YONDK,Male,Two year,Credit card (automatic),25.15,1790.15,No
0396-HUJBP,Female,Month-to-month,Mailed check,19.3,44.4,No
0396-UKGAI,Male,Month-to-month,Bank transfer (automatic),55.3,1284.2,No
0396-YCHWO,Male,Month-to-month,Electronic check,95.4,3474.2,No
0397-GZBBC,Male,Month-to-month,Bank transfer (automatic),93.85,5574.75,Yes
0397-ZXWQF,Male,Two year,Bank transfer (automatic),20.5,1430.95,No
0401-WDBXM,Male,Two year,Bank transfer (automatic),105.55,7542.25,No
0402-CQAJN,Female,Month-to-month,Bank transfer (automatic),101.9,3545.35,Yes
0402-OAMEN,Female,Two year,Bank transfer (automatic),24.45,1709.1,No
0404-AHASP,Male,Two year,Credit card (automatic),19.7,1421.9,No
0404-SWRVG,Male,Month-to-month,Electronic check,74.4,229.55,Yes
0406-BPDVR,Female,One year,Credit card (automatic),101.5,5373.1,Yes
0407-BDJKB,Male,Month-to-month,Electronic check,95.75,5742.9,Yes
0409-WTMPL,Female,One year,Credit card (automatic),110.65,6526.65,No
0410-IPFTY,Female,Month-to-month,Bank transfer (automatic),83.85,2674.15,No
0411-EZJZE,Female,Month-to-month,Electronic check,60.25,170.5,No
0412-UCCNP,Male,Two year,Electronic check,59.2,3175.85,No
0415-MOSGF,Female,Month-to-month,Mailed check,44.4,44.4,Yes
0419-YAAPX,Male,Month-to-month,Credit card (automatic),85.3,4297.95,No
0420-BWTPW,Male,Month-to-month,Mailed check,25.5,215.2,Yes
0420-HLGXF,Female,Month-to-month,Electronic check,99.75,4036.0,No
0420-TXVSG,Male,Two year,Credit card (automatic),66.1,4428.45,No
0422-OHQHQ,Female,One year,Mailed check,20.55,295.95,No
0422-UXFAP,Female,One year,Electronic check,98.85,4947.55,No
0423-UDIJQ,Male,Month-to-month,Mailed check,49.2,447.9,No
0426-TIRNE,Female,Month-to-month,Mailed check,20.9,20.9,Yes
0428-AXXLJ,Male,One year,Bank transfer (automatic),19.5,516.3,No
0428-IKYCP,Male,Month-to-month,Bank transfer (automatic),87.0,1850.65,No
0430-IHCDJ,Male,Month-to-month,Electronic check,49.0,749.25,No
0431-APWVY,Female,One year,Bank transfer (automatic),90.1,2598.95,Yes
0432-CAJZV,Male,Month-to-month,Mailed check,90.7,237.65,No
0434-CSFON,Female,Month-to-month,Electronic check,100.5,4707.1,No
0436-TWFFZ,Female,Two year,Mailed check,85.25,5714.2,No
0439-IFYUN,Female,Month-to-month,Electronic check,74.7,1294.6,No
0440-EKDCF,Male,Two year,Credit card (automatic),60.15,3753.2,No
0440-MOGPM,Female,One year,Electronic check,80.55,3263.9,No
0440-QEXBZ,Female,Month-to-month,Mailed check,50.15,2139.1,No
0440-UEDAI,Female,One year,Credit card (automatic),94.45,5042.75,No
0442-TDYUO,Male,Two year,Mailed check,20.05,1036.0,No
0442-ZXKVS,Female,One year,Bank transfer (automatic),115.6,6431.05,No
0447-BEMNG,Female,Month-to-month,Bank transfer (automatic),45.3,2145.0,Yes
0447-RXSGD,Male,Month-to-month,Bank transfer (automatic),99.65,2404.85,No
0448-YZNZE,Male,Month-to-month,Electronic check,95.55,2510.2,
0454-OKRCT,Male,Two year,Bank transfer (automatic),80.6,2651.1,No
0455-ENTCR,Male,Two year,Electronic check,85.25,5538.35,No
0455-XFASS,Female,Month-to-month,Electronic check,69.55,200.2,No
0458-HEUZG,Female,Two year,Mailed check,35.4,450.4,No
0459-SPZHJ,Male,Two year,Credit card (automatic),83.5,5435.0,No
0461-CVKMU,Female,Month-to-month,Electronic check,83.8,1900.25,Yes
0463-TXOAK,Male,Two year,Credit card (automatic),25.6,1334.5,No
0463-WZZKO,Male,Month-to-month,Credit card (automatic),20.75,67.1,No
0463-ZSDNT,Male,Month-to-month,Bank transfer (automatic),56.75,503.25,No
0464-WJTKO,Female,Two year,Bank transfer (automatic),20.1,1460.85,No
0468-YRPXN,Male,Month-to-month,Credit card (automatic),98.8,2807.1,No
0471-ARVMX,Female,One year,Electronic check,104.85,6312.9,No
0471-LVHGK,Male,One year,Electronic check,73.0,3001.2,Yes
0475-RIJEP,Male,Month-to-month,Electronic check,77.85,3365.85,Yes
0479-HMSWA,Female,Two year,Electronic check,105.45,2715.3,No
0480-BIXDE,Female,Month-to-month,Electronic check,96.8,1743.05,No
0480-KYJVA,Female,Two year,Credit card (automatic),24.25,1784.5,No
0481-SUMCB,Female,One year,Bank transfer (automatic),102.15,4735.35,No
0484-FFVBJ,Male,One year,Bank transfer (automatic),64.85,2010.95,No
0484-JPBRU,Male,Month-to-month,Bank transfer (automatic),25.25,996.45,No
0485-ZBSLN,Male,Two year,Credit card (automatic),24.75,1715.1,No
0486-HECZI,Male,Month-to-month,Electronic check,96.75,5238.9,Yes
0486-LGCCH,Male,Two year,Mailed check,19.65,225.75,No
0487-CRLZF,Female,Two year,Bank transfer (automatic),74.45,3721.9,No
0487-RPVUM,Male,Month-to-month,Bank transfer (automatic),99.4,5943.65,No
0487-VVUVK,Male,Month-to-month,Mailed check,19.15,477.6,No
0488-GSLFR,Female,Month-to-month,Electronic check,69.5,69.5,Yes
0489-WMEMG,Female,One year,Electronic check,49.45,1119.35,No
0491-KAPQG,Male,Month-to-month,Electronic check,73.7,1558.7,No
0495-RVCBF,Female,Month-to-month,Electronic check,79.7,79.7,Yes
0495-ZBNGW,Male,Month-to-month,Bank transfer (automatic),79.9,343.95,Yes
0496-AHOOK,Male,One year,Bank transfer (automatic),74.4,1712.9,No
0504-HHAPI,Female,Month-to-month,Credit card (automatic),88.3,2467.75,Yes
0505-SPOOW,Female,Two year,Bank transfer (automatic),19.8,1397.65,No
0506-LVNGN,Female,Month-to-month,Credit card (automatic),75.55,349.65,Yes
0506-YLVKJ,Male,Two year,Mailed check,20.2,917.45,No
0508-OOLTO,Female,Month-to-month,Electronic check,71.65,135.75,No
0508-SQWPL,Female,Two year,Bank transfer (automatic),20.1,1087.7,No
0510-EXSMQ,Female,Month-to-month,Electronic check,69.05,651.5,
0511-JTEOY,Female,Month-to-month,Mailed check,71.1,71.1,Yes
0512-FLFDW,Female,One year,Credit card (automatic),100.5,6029.0,No
0513-RBGPE,Male,Two year,Credit card (automatic),62.8,2278.75,No
0515-YPMCW,Male,Month-to-month,Mailed check,70.45,70.45,Yes
0516-OOHAR,Male,One year,Bank transfer (automatic),100.35,2799.0,No
0516-QREYC,Female,Month-to-month,Mailed check,20.3,459.95,No
0516-UXRMT,Female,One year,Electronic check,92.05,5755.8,No
0516-VRYBW,Female,One year,Bank transfer (automatic),20.15,390.85,Yes
0516-WJVXC,Female,Month-to-month,Electronic check,54.2,308.25,Yes
0519-DRGTI,Female,Month-to-month,Mailed check,20.35,442.6,No
0519-XUZJU,Female,Month-to-month,Mailed check,70.75,70.75,Yes
0520-FDVVT,Male,One year,Bank transfer (automatic),102.35,3626.1,Yes
0523-VNGTF,Female,Month-to-month,Electronic check,50.5,2566.3,No
0524-IAVZO,Female,Month-to-month,Electronic check,85.0,2624.25,Yes
0526-SXDJP,Male,Two year,Bank transfer (automatic),42.1,2962.0,No
0529-ONKER,Male,Month-to-month,Electronic check,75.65,1146.65,Yes
0530-HBKHZ,Female,Month-to-month,Electronic check,24.8,24.8,
0530-IJVDB,Male,Two year,Electronic check,114.6,7882.5,No
0531-XBKMM,Male,Two year,Bank transfer (automatic),65.7,4378.9,No
0531-ZZJWQ,Male,Month-to-month,Electronic check,74.0,4052.4,No
0533-BNWKF,Female,Month-to-month,Electronic check,85.45,4874.7,Yes
0533-UCAAU,Male,One year,Credit card (automatic),71.1,4140.1,No
0534-JRNIG,Female,Month-to-month,Bank transfer (automatic),93.55,536.4,
0536-ACXIP,Female,Two year,Electronic check,109.55,8165.1,No
0536-BGFMZ,Female,Month-to-month,Mailed check,20.5,563.05,No
0536-ESJEP,Male,Two year,Bank transfer (automatic),74.55,4191.45,No
0537-QYZZN,Male,Month-to-month,Electronic check,79.85,1857.75,No
0541-FITGH,Female,Month-to-month,Mailed check,62.15,113.1,No
